text,clean_text,len
"One Sunday morning William burst into the living room and said, ""Dad! Mom! I have some great news for you! I am getting married to the most beautiful girl in town. She lives a block away and her name is Susan."" After dinner, William's dad took him aside. ""Son, I have to talk with you. Your mother and I have been married 30 years.. She's a wonderful wife but she has never offered much excitement in the bedroom, so I used to fool around with women a lot. Susan is actually your half-sister, and I'm afraid you can't marry her."" William was heart-broken. After eight months he eventually started dating girls again. A year later he came home and very proudly announced, ""Dianne said yes! We're getting married in June."" Again his father insisted on another private conversation and broke the sad news. ""Dianne is your half-sister too, William. I'm awfully sorry about this."" William was furious! He finally decided to go to his mother with the news. ""Dad has done so much harm.. I guess I'm never going to get married,"" he complained. ""Every time I fall in love, Dad tells me the girl is my half-sister."" His mother just shook her head. ""Don't pay any attention to what he says, dear. He's not really your father.""",one sunday morning william burst living room said dad mom great news getting married beautiful girl town life block away name susan dinner william dad took aside son talk mother married _num_ year wonderful wife never offered much excitement bedroom used fool around woman lot susan actually afraid ca marry william eight month eventually started dating girl year later came home proudly announced dianne said yes getting married june father insisted another private conversation broke sad news dianne william awfully sorry william furious finally decided go mother news dad done much harm guess never going get married complained every time fall love dad tell girl mother shook head pay attention say dear really father,218
"Q: How do you keep a computer programmer in the shower all day long? A: Give them a shampoo with a label that says ""rinse, lather, repeat"".",q keep computer programmer shower day long give shampoo label say rinse lather repeat,27
"A horse walks into a bar. Bartender says: ""So, why the long face?""",horse walk bar bartender say long face,13
Q: How many programmers does it take to change a lightbulb? A: NONE! That's a hardware problem....,q many programmer take change lightbulb none hardware problem,17
"Just a thought .. Before criticizing someone, walk a mile in their shoes. Then when you do criticize them, you will be a mile away and have their shoes !",thought criticizing someone walk mile shoe criticize mile away shoe,30
"Q. What's O. J. Simpson's Internet address? A. Slash, slash, backslash, slash, slash, escape.",q simpson internet address slash slash backslash slash slash escape,14
"The Pope dies and, naturally, goes to heaven. He's met by the reception committee, and after a whirlwind tour he is told that he can enjoy any of the myriad of recreations available. He decides that he wants to read all of the ancient original text of the Holy Scriptures, so he spends the next eon or so learning languages. After becoming a linguistic master, he sits down in the library and begins to pour over every version of the Bible, working back from most recent ""Easy Reading"" to the original script. All of a sudden there is a scream in the library. The Angels come running in only to find the Pope huddled in his chair, crying to himself and muttering, ""An 'R'! The scribes left out the 'R'."" A particularly concerned Angel takes him aside, offering comfort, asks him what the problem is and what does he mean. After collecting his wits, the Pope sobs again, ""It's the letter 'R'. They left out the 'R'. The word was supposed to be CELEBRATE!""",pope dy naturally go heaven met reception committee whirlwind tour told enjoy myriad recreation available decides want read ancient original text holy scriptures spends next eon learning language becoming linguistic master sits library begin pour every version bible working back recent easy reading original script sudden scream library angels come running find pope huddled chair cry muttering r scribe left r particularly concerned angel take aside offering comfort asks problem mean collecting wit pope sob letter r left r word supposed celebrate,174
"An explorer in the deepest Amazon suddenly finds himself surrounded by a bloodthirsty group of natives. Upon surveying the situation, he says quietly to himself, ""Oh God, I'm screwed."" The sky darkens and a voice booms out, ""No, you are NOT screwed. Pick up that stone at your feet and bash in the head of the chief standing in front of you."" So with the stone he bashes the life out of the chief. Standing above the lifeless body, breathing heavily looking at 100 angry natives... The voice booms out again, ""Okay ..... NOW you're screwed.""",explorer deepest amazon suddenly find surrounded bloodthirsty group native upon surveying situation say quietly oh god screwed sky darkens voice boom screwed pick stone foot bash head chief standing front stone bash life chief standing lifeless body breathing heavily looking _num_ angry native voice boom okay screwed,96
"A guy goes into confession and says to the priest, ""Father, I'm 80 years old, widower, with 11 grandchildren. Last night I met two beautiful flight attendants. They took me home and I made love to both of them. Twice."" The priest said: ""Well, my son, when was the last time you were in confession?"" ""Never Father, I'm Jewish."" ""So then, why are you telling me?"" ""I'm telling everybody.""",guy go confession say priest father _num_ year old widower _num_ grandchild last night met two beautiful flight attendant took home made love twice priest said well son last time confession never father jewish telling telling everybody,69
"Q: If a person who speaks three languages is called ""tri-lingual,"" and a person who speaks two languages is called ""bi-lingual,"" what do call a person who only speaks one language? A: American!",q person speaks three language called person speaks two language called call person speaks one language american,33
"A guy stood over his tee shot for what seemed an eternity, looking up, looking down, measuring the distance, figuring the wind direction and speed. Driving his partner nuts. Finally his exasperated partner says, ""What the hell is taking so long? Hit the goddamn ball!"" The guy answers, ""My wife is up there watching me from the clubhouse. I want to make this a perfect shot."" ""Well, hell, man, you don't stand a snowball's chance in hell of hitting her from here!""",guy stood tee shot seemed eternity looking looking measuring distance figuring wind direction speed driving partner nut finally exasperated partner say hell taking long hit goddamn ball guy answer wife watching clubhouse want make perfect shot well hell man stand snowball chance hell hitting,82
"Bill & Hillary are on a trip back to Arkansas. They're almost out of gas, so Bill pulls into a service station on the outskirts of town. The attendant runs out of the station to serve them when Hillary realizes it's an old boyfriend from high school. She and the attendant chat as he gases up their car and cleans the windows. Then they all say good-bye. As Bill pulls the car onto the road, he turns to Hillary and says, 'Now aren't you glad you married me and not him ? You could've been the wife of a grease monkey !' To which Hillary replied, 'No, Bill. If I would have married him, you'd be pumping gas and he would be the President !'",bill hillary trip back arkansas almost gas bill pull service station outskirt town attendant run station serve hillary realizes old boyfriend high school attendant chat gas car clean window say bill pull car onto road turn hillary say glad married could wife grease monkey hillary replied bill would married pumping gas would president,125
"Two Rednecks were seated at the end of a bar when a young lady seated a few stools up began to choke on a piece of hamburger. She was turning blue and obviously in serious respiratory distress. One said to the other, ""That gal there is having a bad time!"" The other agreed and said ""Think we should go help?"" ""You bet,"" said the first,and with that, he ran over and said, ""Can you breathe??"" She shook her head no. He said, ""Can you speak??"" She again shook her head no. With that, he pulled up her skirt and licked her on the butt. She was so shocked, she coughed up the obstruction and began to breathe-with great relief. The redneck walked back to his friend and said, ""Funny how that hind lick maneuver always works.""",two rednecks seated end bar young lady seated stool began choke piece hamburger turning blue obviously serious respiratory distress one said gal bad time agreed said think go help bet said first ran said breathe shook head said speak shook head pulled skirt licked butt shocked coughed obstruction began great relief redneck walked back friend said funny hind lick maneuver always work,136
"A duck walks into a pharmacy and asks for a condom. The pharmacist says ""Would you like me to stick that on your bill?"" The duck says: ""What kind of duck do you think I am!""",duck walk pharmacy asks condom pharmacist say would like stick bill duck say kind duck think,36
"A lawyer opened the door of his BMW, when suddenly a car came along and hit the door, ripping it off completely. When the police arrived at the scene, the lawyer was complaining bitterly about the damage to his precious BMW. ""Officer, look what they've done to my Beeeeemer!!!"", he whined. ""You lawyers are so materialistic, you make me sick!!!"" retorted the officer. ""You're so worried about your stupid BMW, that you didn't even notice that your left arm was ripped off!!!"" ""Oh my gaaaad..."", replied the lawyer, finally noticing the bloody left shoulder where his arm once was. ""Where's my Rolex???!!!!""",lawyer opened door bmw suddenly car came along hit door ripping completely police arrived scene lawyer complaining bitterly damage precious bmw officer look done beeeeemer whined lawyer materialistic make sick retorted officer worried stupid bmw even notice left arm ripped oh gaaaad replied lawyer finally noticing bloody left shoulder arm rolex,102
If pro- is the opposite of con- then congress must be the opposite of progress.,opposite congress must opposite progress,15
"What's the difference between a used tire and 365 used condoms? One's a Goodyear, the other's a great year.",difference used tire _num_ used condom one goodyear great year,19
Did you hear that Clinton has announced there is a new national bird? The spread eagle.,hear clinton announced new national bird spread eagle,16
"A couple has been married for 75 years. For the husband's 95th birthday, his wife decides to surprise him by hiring a prostitute. That day, the doorbell rings. The husband uses his walker to get to the door and opens it. A 21-year-old in a latex outfit smiles and says, ""Hi, I here to give you super sex!"" The old man says, ""I'll take the soup.""",couple married _num_ year husband _num_ th birthday wife decides surprise hiring prostitute day doorbell ring husband us walker get door open latex outfit smile say hi give super sex old man say take soup,66
"""May I take your order?"" the waiter asked. ""Yes, how do you prepare your chickens?"" ""Nothing special sir,"" he replied. ""We just tell them straight out that they're going to die.""",may take order waiter asked yes prepare chicken nothing special sir replied tell straight going die,31
What do you get when you run over a parakeet with a lawnmower? Shredded tweet.,get run parakeet lawnmower shredded tweet,15
"An Asian man goes into a New York CityBank to exchange 10,000 yen for American Currency. The teller gives him $72.00. The next month the Asian man goes into the same bank with 10,000 yen and receives $62.00. He asks, ""How come? Only $62.00?"" The teller says ""Fluctuations- Fluctuations!"" Whereupon the Asian man looks back at the teller and says ""Fluk you Amelicans too!""",asian man go new york citybank exchange yen american currency teller give next month asian man go bank yen receives asks come teller say fluctuations whereupon asian man look back teller say fluk amelicans,64
