,Name,Ingredients,Instructions,Image
0,Kentucky Mule,"['2 ounces (¼ cup) bourbon whiskey', '½ ounce (1 tablespoon) fresh lime juice', '4 ounces (½ cup) ginger beer', 'For serving: ice, lime wedge, fresh mint']","['1. In a copper mug or glass, pour in the bourbon, lime juice, and ginger beer.', '2. Add ice and garnish with a lime wedge and fresh mint. Serve immediately.']",https://www.acouplecooks.com/wp-content/uploads/2019/06/Moscow-Mule-069.jpg
1,El Presidente Cocktail,"['2 ounces (4 tablespoons) aged or golden rum', '1 ounce (2 tablespoons) blanc vermouth (or Lillet Blanc)', '1 ounce (2 tablespoons) Orange Curaçao or Grand Marnier', '1 teaspoon grenadine', 'For the garnish: orange peel and Luxardo cherry or cocktail cherry']","['1. In a mixing glass, add the rum, vermouth or Lillet Blanc, Grand Marnier, and grenadine and fill the mixing glass with a handful of ice.\xa0Stir until cold. Strain the drink into a cocktail glass.', '2. Use a knife to remove a 1″ wide strip of an orange peel. Squeeze the orange peel into the drink to release the oils. Gently run the peel around the edge of the glass, then place it in the glass and serve. Add a cocktail cherry if desired.']",https://www.acouplecooks.com/wp-content/uploads/2020/11/El-Presidente-Cocktail-008.jpg
2,Fuzzy Navel,"['3 ounces (6 tablespoons) peach schnapps*', '6 ounces (¾ cup) no sugar added orange juice, fresh squeezed if desired', 'Ice, for serving (try clear ice!)', 'For the garnish: orange wedges, fresh mint sprigs (optional)']","['1. Single drink: Place the ice into a highball glass. Pour in the peach schnapps and orange juice. Garnish with orange wedges and fresh mint.\xa0', '2. Pitcher variation (6 servings): In a large pitcher, add 2 cups peach schnapps and 4 cups orange juice. Add a few handfuls of ice. Garnish with orange wheels and mint sprigs right into the pitcher.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2021/05/Fuzzy-Navel-002.jpg
3,Bijou Cocktail,"['1 ounce (2 tablespoons) gin', '1 ounce (2 tablespoons) sweet vermouth', '1 ounce (2 tablespoons) Chartreuse', '2 dashes orange bitters', 'For the garnish: Lemon peel, Luxardo cherry or cocktail cherry']","['1. Combine the gin,sweet vermouth, Chartreuse and bitters in a cocktail mixing glass (or any other type of glass). Fill the mixing glass with 1 handful ice and stir continuously for 30 seconds.', '2. Strain the drink into a cocktail glass.', '3. Use a knife to remove a 1″ wide strip of the lemon peel. Squeeze the lemon peel into the drink to release the oils. Gently run the peel around the edge of the glass, then place it in the glass and serve.']",https://www.acouplecooks.com/wp-content/uploads/2020/07/Bijou-Cocktail-001.jpg
4,Vampire’s Kiss Cocktail,"['1 ½ ounces vodka', '1 ounce* Chambord', '½ ounce 100% unsweetened cranberry juice (not sweetened or cranberry juice cocktail)', '½ ounce fresh lemon juice', '½ ounce grenadine', 'Granulated sugar and additional grenadine, for the sugar rim (optional)', '1 small dry ice cube, optional']","['1. Prepare the rim: Place granulated sugar in a single layer on one plate. On another plate, add some grenadine. Spin the rim of the glass in the grenadine until it coats the entire rim. Then dip the glass rim into the plate with the sugar to coat it.', '2. Make the drink: Add the vodka, Chambord, unsweetened cranberry juice, lemon juice, and grenadine to a cocktail shaker. Add 2 handfuls regular ice cubes and shake until cold. Strain the drink into the prepared glass.', '3. Break the dry ice into 1-inch chunks (if using): Do this as close to the time you’ll be serving the drinks as possible, though you can buy the dry ice a few hours in advance. Start by dropping the plastic bag with the dry ice on the ground several times to allow it break into large chunks. Remember never to touch the dry ice with your bare hands! Put on goggles and gloves. Use a chisel to break the dry ice into smaller pieces using a screwdriver or ice pick. The ideal size is 1/2-inch to 1-inch chunks that are large enough to sink to the bottom of the drink, but small enough to disappear in a few minutes. Wrap the small chunks in a towel and place them in a cooler with the top off until you’re ready to serve the drinks. Do not place the dry ice in the freezer.', '4. Add the dry ice: Using tongs (do not touch the dry ice!), add a 1/2-inch to 1-inch chunk of dry ice to the glass, which will sink to the bottom and immediately make a smoking effect. The ice cube will disappear in about 5 minutes. Do not drink the dry ice! Wait until the cube disappears before enjoying your drink (or you can take sips with the dry ice in the bottom). Review these Dry Ice Handling instructions.']",https://www.acouplecooks.com/wp-content/uploads/2021/08/Vampires-Kiss-Cocktail-005.jpg
5,Black Russian,"['2 ounces (4 tablespoons) vodka', '1 ounce (2 tablespoons) Kahlua*', 'Ice, for serving (try clear ice)', 'For the garnish: cocktail cherry (optional)']","['1. Add the vodka and Kahlua to a mixing glass and fill with it ice. Stir until cold.', '2. Strain the drink into an ice filled lowball glass. Garnish with a cocktail cherry.']",https://www.acouplecooks.com/wp-content/uploads/2020/07/Black-Russian-010.jpg
6,Gin Fizz Cocktail,"['2 ounces (4 tablespoons) gin', '¾ ounce (1 ½ tablespoons) lemon juice', '½ ounce (1 tablespoon) simple syrup or maple syrup', '1 egg white*', 'Garnish with lemon twist (optional)', 'Soda water']","['1. Place the gin, lemon juice, syrup and egg white in a cocktail shaker. Shake vigorously for 15 seconds.', '2. Fill the shaker with ice and shake for 30 seconds until cold.', '3. Strain the drink into a glass and top with the soda water; the egg white foam forms on top. If desired, garnish with a lemon twist. Serve immediately.']",https://www.acouplecooks.com/wp-content/uploads/2019/06/Gin-Fizz-102.jpg
7,Pineapple Vodka Cocktail,"['3 ounces (6 tablespoons) pineapple juice', '2 ounces (¼ cup) vodka', '½ ounce (1 tablespoon) lime juice', '1 splash grenadine', 'Ice, for serving (try clear ice)', 'For the garnish: fresh pineapple wedge or pineapple leaves']","['1. Fill a lowball glass with ice. Add the pineapple juice, vodka and lime juice and stir to combine.', '2. Pour a splash of grenadine along the side of the glass. It will settle to the bottom to make a ruby red layer at the base. Garnish with fresh pineapple or pineapple leaves.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2020/10/Vodka-and-Pineapple-Juice-002.jpg
8,Jameson Whiskey Sour (Irish Sour),"['2 ounces (4 tablespoons) Jameson Irish whiskey (or use 2 ½ ounces for a stronger flavor)', '1 ounce (2 tablespoons) fresh lemon juice', '¾ ounce (1 ½ tablespoons) simple syrup or pure maple syrup', 'Garnish: Lemon wedge, cocktail cherry', 'Ice, for serving (try clear ice)']","['1. Add the Jameson whiskey, lemon juice, and syrup to a cocktail shaker. Fill with a handful of ice and shake until very cold.', '2. Strain the drink into a lowball or Old Fashioned glass. Serve with ice,\xa0 a lemon wedge and a cocktail cherry.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2021/01/Jameson-Whiskey-Sour-003.jpg
9,Amaretto Whiskey Sour,"['1 ounce (2 tablespoons) amaretto', '2 ounces (4 tablespoons) bourbon whiskey', '1 ounce (2 tablespoons) lemon juice', '½ ounce (1 tablespoon) simple syrup\xa0', '1 egg white (optional)', 'For the garnish: Cocktail cherry or Luxardo cherry']","['1. Add the amaretto, bourbon, lemon juice, syrup, egg white, and to a cocktail shaker without ice. Shake for 15 seconds (skip this first step if you’re not using the egg white).', '2. Add the ice to the cocktail shaker. Shake again for 30 seconds.', '3. Strain the drink into a glass; the foam will collect at the top. Garnish with a cocktail cherry.']",https://www.acouplecooks.com/wp-content/uploads/2021/01/Amaretto-Whiskey-Sour-006.jpg
10,Quick Guide to Lillet Blanc,"['1 ½ ounces* gin', '½ ounce vodka', '¼ ounce Lillet Blanc']","['1. Place the gin, vodka, and Lillet Blanc into a cocktail shaker and fill it with ice. Shake until cold.', '2. Strain the drink into a cocktail glass.', '3. Use a knife to remove a 1″ wide strip of the lemon peel. Squeeze the lemon peel into the drink to release the oils. Gently run the peel around the edge of the glass, then place it in the glass and serve.']",https://www.acouplecooks.com/wp-content/uploads/2020/05/Lillet-Spritzer-003.jpg
11,Frozen Mojito,"['4 ounces (½ cup) white rum', '2 ounces (¼ cup) lime juice, plus more wedges to garnish', '2 ounces (¼ cup) simple syrup', '1 handful mint leaves (10–12 leaves)', '2 cups ice cubes']",['1. Place all ingredients in a blender and blend until smooth. Pour into two glasses and garnish with lime wedges.'],https://www.acouplecooks.com/wp-content/uploads/2021/08/Frozen-Mojito-001.jpg
12,Jagermeister Old Fashioned,"['4 dashes orange bitters', '1 sugar cube', '½ ounce Jagermeister', '2 ounces rye whiskey', 'Orange peel, for garnish']","['1. In a mixing glass, add the sugar cube and coat it with the bitters. Muddle the sugar cube with a cocktail muddler or wooden spoon until mostly dissolved. Add the Jagermeister and whiskey and fill the mixing glass with a handful of ice.', '2. Stir until cold. Strain the drink into an iced-filled lowball glass.', '3. Use a knife to remove a 1″ wide strip of the orange peel. Squeeze the orange peel into the drink to release the oils. Gently run the peel around the edge of the glass, then place it in the glass and serve.']",https://www.acouplecooks.com/wp-content/uploads/2021/08/Jagermeister-Drink-002.jpg
13,Key Lime Martini,"['2 ounces Licor 43*', '½ ounce vodka', '½ ounce key lime juice (bottled)**', '1 ounce heavy cream', 'Graham crackers, crushed for the rim', 'For the garnish: Lime wheel']","['1. Wet the rim of the cocktail glass. Place finely crushed graham crackers on a plate, and tilt the outside rim of the glass into the mixture so that it coats the outer rim.\xa0', '2. Place the Licor 43, vodka, key lime juice, and heavy cream in a cocktail shaker with 2 handfuls ice. Shake 15 seconds until cold.', '3. Strain the drink into the prepared glass. Garnish with a lime wheel and serve.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2021/03/Key-Lime-Martini-002.jpg
14,Frozen Mango Daiquiri,"['2 cups frozen mango cubes', '4 ounces (½ cup) aged rum', '2 ounces (¼ cup) Triple Sec or Cointreau', '2 ounces (¼ cup) lime juice', '1 cup ice', 'For the garnish: lime wheel, cocktail cherry (optional)']","['1. Place all ingredients in a blender and blend until smooth. Serve immediately, garnished with a lime wheel and cocktail cherry if desired.']",https://www.acouplecooks.com/wp-content/uploads/2021/08/Mango-Daiquiri-009.jpg
15,Tequila and Coke,"['2 ounces tequila blanco or reposado', '4 ounces cola', '1 lime wedge or ½ ounce (1 tablespoon) lime juice', 'Ice, for serving (try clear ice)', 'Kosher salt or flaky sea salt for rim, optional']","['1. Optional: For a salt rim, cut a notch in a lime wedge, then run the lime around the rim of a glass. Dip the edge of the rim into a plate of salt.\xa0', '2. Add the tequila and ice to a glass and stir to combine.', '3. Top with the cola. Squeeze in the juice from the lime wedge (or the ½ ounce lime juice) and serve. Garnish with additional lime wedges or wheels if desired.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2020/11/Rum-and-Coke-001.jpg
16,Golden Cadillac,"['1 ½ ounces* Galliano liqueur (Galliano L’Autentico)', '1 ½ ounces creme de cacao', '1 ½ ounces cream', 'For the garnish: fresh grated or ground nutmeg']","['1. Place the Galliano, creme de cacao, and cream in a cocktail shaker. Add 2 handfuls ice and shake until cold.', '2. Strain into a cocktail glass. Garnish with fresh grated or ground nutmeg and serve.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2021/02/Golden-Cadillac-003.jpg
17,Hugo Cocktail,"['1 ounces (2 tablespoons) St Germain liqueur (chilled if possible)', '3 ounces (6 tablespoons) Prosecco or other sparkling wine, chilled', '1 ounce (2 tablespoons) soda water', 'Ice, for serving (try clear ice!)', 'For the garnish: fresh mint']","['1. Add the St Germain to a glass filled with ice and stir.', '2. Top with the sparkling wine and soda water. Add mint and serve.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2020/10/Hugo-Cocktail-007.jpg
18,Cranberry Martini,"['1 ounce (2 tablespoons) vodka**', '1 ounce (2 tablespoons) 100% cranberry juice (not sweetened*)', '½ ounce (1 tablespoon) Cointreau', '½ ounce (1 tablespoon) lemon juice', '2 teaspoons simple syrup or maple syrup*', 'Granulated or superfine sugar, for the rim (optional)', 'For the garnish: fresh cranberries, lemon wedge']","['1. Cut a notch in a lemon wedge, then run the lemon around the rim of a martini glass. Dip the edge of the rim into a plate of superfine sugar.', '2. Place the vodka, cranberry juice, Cointreau, lemon juice, and syrup in a cocktail shaker with ice. Shake 15 seconds until cold.', '3. Strain the drink into a cocktail or martini glass. Garnish with cranberries and a lemon wedge and serve.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2020/11/Cranberry-Martini-010.jpg
19,Vodka and Coke,"['2 lime wedges', '2 ounces (¼ cup) vodka', '4 ounces (½ cup) cola', 'Optional: 2 dashes cocktail bitters (Angostura bitters or other)']","['1. Add the lime wedges to a highball glass and gently muddle them with a cocktail muddler or wooden spoon to release their juices.', '2. Add the vodka and ice and stir to combine. Top with the cola. If desired, add a few dashes bitters for more complexity.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2020/12/Vodka-and-Coke-001.jpg
20,Vodka Soda,"['2 ounces (¼ cup) vodka', '½ ounce (1 tablespoon) lime juice', '4 ounces (½ cup) soda water', 'Ice, for serving (try clear ice)']","['1. Place the vodka and lime juice in a highball or lowball glass and add ice.\xa0', '2. Top off with soda water and enjoy.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2021/03/Vodka-Soda-004.jpg
21,Apple Sangria,"['1 red apple', '1 green apple', '3 tablespoons sugar', '½ teaspoon cinnamon', '1 bottle dry red wine, chilled', '½ cup Grand Marnier or brandy', '3 cinnamon sticks', '1 lemon, sliced into rounds', 'Unsweetened apple cider, for serving (optional)*']","['1. Slice the apples, then add them to the bottom of a pitcher. Sprinkle them with sugar and cinnamon and stir. Let them stand for 20 minutes at room temperature.', '2. After 20 minutes, pour in the red wine, brandy, cinnamon sticks and lemon rounds. Stir and refrigerate 1 to 4 hours. (Don’t go beyond 4 hours or the fruit texture starts to degrade.)', '3. Pour the sangria into ice filled glasses. If desired, for more sweetness and apple flavor, add a splash of apple cider before serving. Add apples to each glass, preferably on long skewers for easy snacking.']",https://www.acouplecooks.com/wp-content/uploads/2020/09/Apple-Sangria-006.jpg
22,Limoncello Spritz,"['2 ounces (4 tablespoons) limoncello, chilled if possible', '3 ounces (6 tablespoons) Prosecco or other sparkling wine, chilled', '1 ounce (2 tablespoons) soda water', 'Ice (try clear ice!)', 'For the garnish: mint, lemon rounds']","['1. Add the Limoncello to a glass filled with ice and stir.', '2. Top with the sparkling wine and soda water. Add mint and serve.\xa0']",https://www.acouplecooks.com/wp-content/uploads/2020/10/Limoncello-Spritz-010.jpg
23,Watermelon Smash,"['½ cup chopped watermelon (or ¼ cup watermelon juice)', '4 large mint leaves, plus more for garnish', '1 ounce* vodka', '1 ounce white rum (or use all vodka)', '2 teaspoons lime juice', '2 teaspoons simple syrup', 'Crushed ice, for serving']","['1. Make the crushed ice.', '2. Add the mint to a cocktail shaker and muddle it gently. Add the watermelon cubes and use the muddler to release all of the juice. (If you’re using watermelon juice, simply muddle the mint first then add the juice in Step 2.)', '3. Add the vodka, rum, lime juice and simple syrup. Fill with ice and shake until cold.', '4. Fill a lowball glass with the crushed ice, then strain in the drink. Garnish with additional watermelon slices and mint.']",https://www.acouplecooks.com/wp-content/uploads/2021/07/Watermelon-Smash-003.jpg
24,Gibson Cocktail,"['3 ounces (6 tablespoons) gin', '½ ounce (1 tablespoon) dry white vermouth', 'For the garnish: Cocktail onions']","['1. Combine the gin and vermouth in a cocktail mixing glass (or any other type of glass). Fill the mixing glass with 1 handful ice and stir continuously for 30 seconds until very cold.', '2. Strain the drink into a cocktail or martini glass (purists chill the glass first). Garnish with cocktail onions.']",https://www.acouplecooks.com/wp-content/uploads/2020/05/Gibson-Cocktail-001.jpg
