id,region,name,res1,res2,res3,res4,res5,res6
0,atlanta,Tanner's,671,452,378,110,219,652
1,atlanta,Frijoleros,573,607,291,117,334,44
2,atlanta,Indian Delights,288,508,616,480,438,19
3,atlanta,Great Wall,334,397,221,54,315,138
4,atlanta,The Brickery,652,288,671,565,134,369
5,atlanta,Lawrence's Cafe,323,438,334,259,206,221
6,atlanta,Harold's Barbecue,220,106,652,480,114,19
7,atlanta,Zab-E-Lee,443,244,610,312,32,427
8,atlanta,The Dessert Place,44,114,133,318,671,227
9,atlanta,Cafe Diem,133,227,259,75,44,121
10,atlanta,El Charro,221,106,334,380,227,541
11,atlanta,Kurt's at River Manor,299,198,76,460,603,612
12,atlanta,Peggy Sue's Diner,133,75,227,671,106,334
13,atlanta,Pars,546,441,163,653,619,206
14,atlanta,Le Rendez-Vous,661,565,392,488,348,364
15,atlanta,Rockbridge Diner,661,255,294,659,565,164
16,atlanta,Chefs' Grill,563,175,612,90,146,661
17,atlanta,Jonathan Lee's,565,652,288,397,315,336
18,atlanta,The Country Place,576,120,659,620,418,90
19,atlanta,Hama's,565,471,222,122,386,547
20,atlanta,Raja Indian Restaurant,516,509,222,488,453,53
21,atlanta,PRICCI,620,282,603,10,636,644
22,atlanta,Pittypat's Porch,323,671,197,227,334,54
23,atlanta,Houston's,227,278,219,164,60,86
24,atlanta,Azio,60,621,369,16,613,507
25,atlanta,Banks,659,188,244,123,357,147
26,atlanta,ABRUZZI RISTORANTE,576,418,428,659,116,640
27,atlanta,Rio Bravo Cantina,133,64,507,227,293,302
28,atlanta,Savannah Fish Company,553,667,146,70,38,213
29,atlanta,Lombardi's,392,419,450,193,525,262
30,atlanta,Johnny Rockets,478,44,133,262,590,589
31,atlanta,Opus,418,659,576,495,563,223
32,atlanta,La Paz,133,516,86,563,227,546
33,atlanta,Tortilla's,135,92,521,632,25,194
34,atlanta,Acacia,460,669,163,665,90,586
35,atlanta,Snack 'n Shop,652,17,565,44,642,288
36,atlanta,Touch of India,315,397,265,17,167,432
37,atlanta,The Hawthorne Cottage Tea Room,565,121,293,584,652,302
38,atlanta,Old Vinings Inn,21,174,501,302,659,516
39,atlanta,Janousek's,294,659,661,10,245,218
40,atlanta,Cafe Intermezzo,133,302,394,460,21,644
41,atlanta,Sukhothai,453,524,364,612,626,241
42,atlanta,Suntory,161,495,120,595,162,603
43,atlanta,Cha Gio,265,565,17,134,642,53
44,atlanta,Fellini's Pizza,117,334,573,493,252,106
45,atlanta,SURIN OF THAILAND,312,662,588,612,443,638
46,atlanta,China Royal,671,133,642,334,652,590
47,atlanta,Nakato,116,603,199,643,299,502
48,atlanta,Thelma's Kitchen,541,671,19,427,567,114
49,atlanta,Silver Grill,44,432,407,569,583,233
50,atlanta,Cafe de la Place,174,302,667,501,545,450
51,atlanta,The Colonnade,315,397,565,17,652,654
52,atlanta,Spanish Cafe,553,408,608,206,413,70
53,atlanta,China Doll,293,616,443,662,551,89
54,atlanta,Niko's,137,516,488,64,61,121
55,atlanta,Kobe Steaks,64,17,61,413,642,148
56,atlanta,San Gennaro,516,302,233,509,148,488
57,atlanta,Nuts and Berries,508,438,288,67,427,380
58,atlanta,Outback Steaks,516,17,589,509,457,137
59,atlanta,Baker's Cafe,44,496,288,671,652,407
60,atlanta,Emah's Restaurant & Cafe,288,652,293,114,304,319
61,atlanta,Ray's New York Pizza,106,56,259,67,148,427
62,atlanta,Claudette's,565,501,453,509,137,302
63,atlanta,Pilgreen's,17,221,427,233,671,642
64,atlanta,Carey's,541,166,427,380,106,67
65,atlanta,Lickskillet Farm,146,198,1,361,2,61
66,atlanta,The Red Snapper,642,222,673,654,308,17
67,atlanta,Gene and Gabe's Lodge,148,635,450,457,302,516
68,atlanta,The Crab House,546,291,323,221,421,60
69,atlanta,Papa Piroski's,364,595,241,162,199,418
70,atlanta,Taco Mac,219,109,60,133,323,671
71,atlanta,Stage Deli,369,671,114,334,133,661
72,atlanta,Ruth's Chris Steakhouse,162,595,626,524,175,661
73,atlanta,The Coach and Six,163,332,595,148,653,281
74,atlanta,Anthony's,586,21,669,206,148,644
75,atlanta,Jim White's Half Shell,565,91,427,652,534,336
76,atlanta,El Toro,252,106,291,79,25,452
77,atlanta,Burton's Grill,671,541,216,166,407,79
78,atlanta,House of Chan,407,99,517,183,443,590
79,atlanta,Jagger's,334,221,117,642,380,227
80,atlanta,Avanzare,460,277,586,644,461,21
81,atlanta,San Jose,445,135,207,25,179,508
82,atlanta,Nino's,174,265,167,302,565,553
83,atlanta,Pete's (aka The Forum),17,565,642,654,652,555
84,atlanta,Dusty's,106,166,671,216,483,380
85,atlanta,Petite Auberge,70,239,206,146,408,305
86,atlanta,Bamboo Luau's Chinatown,334,565,54,671,304,133
87,atlanta,Brother Juniper's,44,427,508,67,583,380
88,atlanta,Veggieland,438,288,67,508,427,106
89,atlanta,Raffaello,418,69,554,446,469,282
90,atlanta,Sitar,659,544,188,23,183,565
91,atlanta,Avanti's,546,323,643,206,578,439
92,atlanta,Violette,431,565,646,233,617,644
93,atlanta,Zur Bratwurst Bavarian,106,427,671,166,380,259
94,atlanta,Yakitori Den-Chan,137,565,134,453,60,222
95,atlanta,A Taste of New Orleans,643,635,496,149,299,245
96,atlanta,Bridgetown Grill,652,534,336,293,133,288
97,atlanta,Dooley's Tavern,671,219,60,334,133,54
98,atlanta,Nicola's,643,642,654,221,17,120
99,atlanta,Cassis,556,418,659,603,644,576
100,atlanta,Chow,621,527,16,644,516,379
101,atlanta,Bobby and June's Country Kitchen,480,216,671,652,565,166
102,atlanta,Hong Kong Delight,652,315,642,334,397,565
103,atlanta,French Quarter Grocery,671,407,19,496,106,529
104,atlanta,The Silver Skillet,565,397,17,44,642,146
105,atlanta,Bien Thuy,133,186,233,643,529,364
106,atlanta,Paschal's,652,206,565,407,642,163
107,atlanta,African Brown Bag Restaurant,133,146,501,653,163,206
108,atlanta,INDIGO,612,661,164,52,621,299
109,atlanta,CITY GRILL,659,418,90,620,576,250
110,atlanta,Eat Your Vegetables,288,438,652,508,91,423
111,atlanta,The Captain's Roost,565,652,336,288,117,265
112,atlanta,CHEFS' CAFE,164,418,199,175,10,661
113,atlanta,The Steamhouse,60,133,671,573,560,304
114,atlanta,China Moon,263,33,509,193,327,173
115,atlanta,Coco Loco,233,133,432,315,652,478
116,atlanta,Cafe Gamay,418,603,90,556,460,21
117,atlanta,Capo's Cafe,613,516,509,121,450,419
118,atlanta,Fellini's Pasta,334,323,438,599,671,351
119,atlanta,First China,565,334,133,222,134,1
120,atlanta,Lindy's,228,427,565,431,288,216
121,atlanta,KAMOGAWA,418,659,495,576,90,116
122,atlanta,Beesley's of Buckhead,156,228,16,288,565,534
123,atlanta,Cafe Chanterelle,516,58,137,392,509,174
124,atlanta,Sushi Huku,502,245,186,612,302,643
125,atlanta,The Patio by the River,661,121,501,379,302,565
126,atlanta,Toni's Casa Napoli,148,302,38,460,457,450
127,atlanta,Calcutta,133,590,491,315,573,578
128,atlanta,Winfield's,620,69,652,361,146,198
129,atlanta,Oscario's,174,265,302,167,361,432
130,atlanta,La Fonda Latina,106,632,622,380,599,334
131,atlanta,Nickiemoto's,612,621,52,196,571,148
132,atlanta,Sundown Cafe,4,516,613,476,434,342
133,atlanta,Cafe Prego,302,174,422,621,617,450
134,atlanta,Phuket,302,121,667,174,614,137
135,atlanta,Fat Matt's Rib Shack,106,671,391,438,314,323
136,atlanta,Thumbs Up,288,643,149,565,491,496
137,atlanta,Himalaya's,652,288,354,336,565,170
138,atlanta,California Pizza Kitchen,642,334,354,507,221,380
139,atlanta,Bagel Palace,114,304,319,44,541,79
140,atlanta,Cowan's Sandwich Shop,671,149,569,565,652,170
141,atlanta,Hong Kong Harbor,117,334,624,288,222,652
142,atlanta,Bugatti,667,163,121,281,665,601
143,atlanta,Old South Barbecue,106,166,380,427,114,304
144,atlanta,Paisano's,652,671,288,334,133,478
145,atlanta,The Public House,620,361,501,206,225,116
146,atlanta,Bambinelli's,671,334,106,221,652,438
147,atlanta,CHOPSTIX,636,223,620,576,353,116
148,atlanta,CHOPSTIX,418,564,636,223,640,105
149,atlanta,Athens Pizza,541,398,216,483,106,380
150,atlanta,East Village Grille,671,133,219,60,54,75
151,atlanta,Alfredo's Italian Restaurant,565,305,70,654,408,239
152,atlanta,Longhorn Steaks,589,313,17,216,249,642
153,atlanta,Prince of Wales,133,60,197,671,612,164
154,atlanta,Royal Bagel,541,114,519,319,235,67
155,atlanta,Hsu's,392,509,488,516,614,332
156,atlanta,Rainbow Restaurant,288,480,508,496,205,333
157,atlanta,Joey D's Oakroom,13,16,543,24,146,133
158,atlanta,Ray's on the River,61,642,565,546,17,146
159,atlanta,Slocum's Tavern & Grill,17,565,642,53,134,221
